wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4894452214662653,中新文娱,7728745629,f,2023-04-25 16:36:45,【#中新文娱评理性追剧#：#拒绝拉踩引战式追剧#】电视剧《长月烬明》真是风波不断。这已经不知是其主创第几次因为负面争端上热搜了。前几天@中新文娱 曾发表过倡导理性追剧的评论，现在看，仍有讨论价值。翻出来重发，共勉！↓#陈都灵方否认发艳压通稿#,37970,1039,117,北京,中国,北京
4894397705227044,陈都灵工作室_,6797200800,f,2023-04-25 13:00:09,严正声明,54769,4366,5004,北京,中国,北京
4894432245844258,好飒的小姐姐,7674736630,f,2023-04-25 15:17:24,"#陈都灵方否认发艳压通稿#
我们确实无从得知陈小姐是否发了通稿，不知道可以“算”你没发。

只是，我们也确实看了不少陈粉针对其他演员的不当评论。
当我制止这些行为时，陈粉也对我进行了猛烈的攻击。
还有粉丝装“路人”追着我骂，被微博处理后还反复换了好几个小号继续。
我很难相信，真正的路人会为一个自己不粉的明星，用恶毒难听的话骚扰我们这些观众。
难道是陈氏路人？

所以，工作室别拿你打算告黑的声明吓唬网友，
有这功夫先约束粉丝言行！
很多事儿，行业里的人心里有数。",28402,1806,128,大连,中国,辽宁
4894436528230855,草木公子啊,1236137181,m,2023-04-25 15:34:25,"#陈都灵方否认发艳压通稿# 内娱存在女主病很久了吧，不是说你一天当了女主，就可以坐享其成，即使演技不好也不能被批评。
有时候只是观众过于宽容，才让这么多原本不够格当女主的上了……不管是背后的公司助推还是金主护航，观众只看你演得好不好。
如果自己没本领被女二女三艳压了，那就别怪媒体发稿了，毕竟如果女主真的优越，即使被发通稿也不在怕的……
你看当初《克拉恋人》唐嫣被迪丽热巴艳压，迪丽热巴发了通稿也没被大众谴责，反倒成为了迪丽热巴翻身代表作。",6638,377,7,重庆,中国,重庆
4894419537105337,炕上瓜籽爱吃西瓜,7368838461,f,2023-04-25 14:26:54,#陈都灵方否认发艳压通稿#不管明星间的纷纷扰扰，反正我看剧爱、恨都不会移情到演员，单纯从剧来看，这个视频算是比较完整全面的解释了为啥剧粉会把low搞上rs，因为在电视剧体系里就是天然站在主角的角度，主角团就是代表正义那方，而这个剧的最大反派做的事又承担不起那么大的恶意，主角团做的事也承担不起这些正义的化身，这种矛盾的双标就让看剧的越发对立，其实近几年大家意识觉醒，对于爱情至上、影响主角恋爱就是反派的思维越来越不赞同，我觉得挺好的，不喜欢因为爱情动不动嘎苍生的剧情 炕上瓜籽爱吃西瓜的微博视频,9427,261,275,北京,中国,北京
4894458208584389,拉斯维加斯嘉丽,5936754628,f,2023-04-25 17:00:34,"#陈都灵方否认发艳压通稿#

我觉得主角粉把这部剧的口碑崩坏归咎于女二粉本质上是一种掩耳盗铃，先不提女二粉丝基础非常薄弱的问题了，很多时候，就算是顶流粉都无法影响一部剧的口碑。女二的人设之差之脸谱化，放到其他剧里都只有被人人喊打的份，为什么在长月里竟然显得“清新脱俗”？全靠主角人设和剧情衬托呗～

原著本就三观不正，编剧再倒倒油，就有了一群伪君子主角审判真小人反派的无耻剧情，激起了观众反骨，反派小偷小摸被喊打喊杀，你主角祸国殃民凭什么独善其身。于是就形成了一种主角在剧里审判反派，观众在剧外审判主角的观剧氛围。这种烂剧自带的负面效果，还真不能怪到女二头上。",10956,374,64,广州,中国,广东
4894495487824537,v大黄不吃鱼v,6991047031,f,2023-04-25 19:28:42,"#陈都灵方否认发艳压通稿#
本来觉得各有各的美，
这剧从开播就一直撕…

emmmm，不敢说什么
我就看个剧，图个乐，下个饭
还要看妹子们惊心动魄扯头花
嘶…难受

美是一回事，撕逼艳压炒作是一回事
看看小狐狸啊，
那么美，完全没有任何艳压的消息和营销，也没啥抱怨什么服装、打光板…
更没自己说被骗过去拍戏这种话
我看她写文一直感恩来着，还怕以后没机会演戏。
上午看了狐狸妹妹写的文，人家也没营销文笔好学霸…
emmmm，真诚是必杀技
这剧最圈好感的就是狐狸妹妹。

白鹿也没宣传美，艳压…
明明飞妆不服帖那么明显，也没通稿营销到处说打光板不好或者化妆师的问题

真心喜欢美女们多贴贴，别扯头花了

——————————
陈都灵目前在［日土＋日冥］行进
不清楚精准生时
要么叠加在［水天＋水海］里，要么快到这个水星的差行进了。

她本命盘太阳落位很拧巴
再碰上日水的不好行进…
唉…
炎上的感觉来了",332,44,3,徐州,中国,江苏
4894438575313965,芒果妈妈,1218346612,f,2023-04-25 15:42:33,#陈都灵方否认发艳压通稿#捏🐎，被这个评论笑崩溃了 陈都灵不会一边在娱乐圈赚钱一边搞自己的飞行器吧？,1732,45,124,合肥,中国,安徽
4894468970908963,鹿豆泥,3798179623,f,2023-04-25 17:43:20,#陈都灵方否认发艳压通稿# 不至于啊，美女存货那么多。 只能说编剧把原著魔改的部分，思想太落后了，以至于拍出来大家看完都觉得，男女主谈个恋爱，过于双标，以至于对角色产生了怨气。 外貌艳压，这……不需要发稿，有眼睛就行，确实是事实。,787,31,1,杭州,中国,浙江
4894517268318406,不催不急星人,7475489666,f,2023-04-25 20:55:15,#陈都灵方否认发艳压通稿#当初粉丝全网撕赌王女儿和窦的时候，怎么就看不见？现在，惹不起那俩吗？,0,0,0,杭州,中国,浙江
