wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4857879201324254,红星新闻,6105713761,f,2023-01-14 18:28:39,【#桂林一酒吧卫生间疑装双面镜#，男士如厕时可看见女厕洗手台？市监局：此前未收到举报 若属实会处理】#市监局回应酒吧卫生间疑装双面镜# 1月13日，一段“桂林一酒吧卫生间装单向玻璃，男士如厕时可看见女厕洗手台”的视频在网上传播。视频中能看到，其卫生间男士小便池前有一面玻璃，通过玻璃能看见另一侧洗手台边的多名女士对着镜子整理衣物。1月14日，红星新闻记者联系到桂林市市场监督管理局，其工作人员表示此前未收到相关举报线索，他们核对情况后，若属实会处理。网页链接 红星视频的微博视频,72218,2617,1228
4857991759659417,铅医蔷薇,2421031427,m,2023-01-15 01:55:55,#桂林一酒吧卫生间疑装双面镜#在男士的小便池前面的镜子里，可以看到女卫生间的洗手台，可以看到女士在整理衣服。 女士不可能进男厕所，所以只有男士能看到这所谓的“小秘密”，给第一个举报的男同胞点赞。贵港·步步高广场,4790,191,28
4858089340405782,急诊石头哥,5581661574,m,2023-01-15 08:23:40,"#桂林一酒吧卫生间疑装双面镜#看到别人发的一张平面图，差不多大概就这意思。

看到一个网友的评论，从着装上看这几个女的像是陪酒女甚至陪别的女，这些人包括来这里的人根本没人在乎这个镜子的问题，没什么可在乎的，都是为了生活的放松和自由。

其实酒吧这种地方，大家都明白，有很多种，有的就是自己纯喝个小酒唱个歌，有的可能需要人陪，有的地方可能根据个人需要就得更上一层楼打打擦边球，还是那种擦出火花的球。

白天都在上班，上班很难使人快乐，晚上灵魂才得以消遣，酒吧里的人见怪不怪，网上的人觉得挺坏，你说好多事犯法吧，咱也不懂法，好多事下头吧，咱也管不着。

唯希望让更多的人看到，了解社会这面墙的后面，并不像你想象的那样，有光明正大的白天，也有浅尝辄止的黑夜，甚至黑夜并不只是浅尝辄止。",2041,185,27
4857947308431040,豆豆酱_怼怼版,1685535987,f,2023-01-14 22:59:17,#桂林一酒吧卫生间疑装双面镜#酒吧男厕安装透视镜不是个例，全国各地都有这样恶臭的设计！,1297,114,76
4858072089232080,百花香帅,1293980032,m,2023-01-15 07:15:07,#桂林一酒吧卫生间疑装双面镜#当时我就震惊了！安装这样的双面镜镜子，真是别有用心，不就是酒吧为了提高客流量心知肚明的给男顾客的隐形福利吗？另外检查下卫生间是否有隐形摄像头，女生如厕千万别成了现场直播。赶紧查个水落石出，保护女性隐私不被侵害。细思极恐，全国不知道有多少酒吧存在类似这样的安全隐患，希望女生去酒吧的时候，时刻提防以免隐私被泄露。给举报者点个赞，这样的男生绝对是有正义感，责任感的好男人。,540,173,150
4858092308661426,突袭手,5714738441,m,2023-01-15 08:35:28,女厕这边是洗手台。看不到男厕。男厕这边是小便池，但可以看到女厕的洗手台。女的一边洗手一边照镜子，男的在这边尿尿，可能有一种被盯着看的感觉。我感觉是故意设计的这种风格吧。 #桂林一酒吧卫生间疑装双面镜# 突袭手的微博视频,149,22,5
4858083203875714,柳佳衣,7326107483,f,2023-01-15 07:59:17,#桂林一酒吧卫生间疑装双面镜# 得多恶臭变态搞出这玩意 满足下流群体的猥琐心理？ 这么久没有人举报？可怜下流变态真多,128,5,1
4858087385335863,Tina厨房日记,1170229657,f,2023-01-15 08:15:54,#桂林一酒吧卫生间疑装双面镜#维护女性权益，保护女性隐私，这种做法太可耻了,193,69,31
4858092883806894,微博禁毒第一人马霄,1270750184,m,2023-01-15 08:37:45,早安 违法犯罪的行为都应受到法律的制裁。早安。#桂林一酒吧卫生间疑装双面镜# 微博禁毒第一人马霄的微博视频,72,69,1
4858109049176997,净壹1970,5128435051,m,2023-01-15 09:41:59,#桂林一酒吧卫生间疑装双面镜##官方调查雷丁汽车举报县委书记# 净壹：同样在读书，只有少数人在学好，大多数在学坏 净壹：同样在读书，只有少数人在学好，大多数在学坏,15,24,61
